,DRR022925,DRR237582,ERR232406,ERR232408,ERR232409,ERR232411,ERR232412,ERR232413,ERR232414,ERR232417,ERR232418,ERR232420,ERR232421,ERR232422,ERR232429,ERR232430,ERR232431,ERR232432,ERR232437,ERR232438,ERR232440,ERR232441,ERR769510.1,SRR12894196,SRR2954803.1,SRR4002443.1,SRR5676587.1,SRR617720.1,SRR617722.1,SRR617734.1,SRR617745.1,SRR6434917.1,SRR7418924.1,SRR7418926.1,SRR7418928.1,SRR7418930.1,SRR7418934.1,SRR7418935.1,SRR7418936.1,SRR7418938.1,SRR7418939.1,SRR7418941.1,SRR7418942.1,SRR7418944.1,SRR7418947.1,SRR7418949.1,SRR8759697.1,SRR9067511.1
Afu1g00690,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,39.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0
Afu1g00700,45.1,0.0,99.9,0.0,44.1,0.0,0.0,0.0,0.0,0.0,0.0,34.5,34.6,99.3,0.0,0.0,0.0,0.0,34.6,34.8,34.5,0.0,34.5,100.0,34.4,99.3,34.5,0.0,34.6,34.6,0.0,34.7,34.4,34.5,34.4,0.0,0.0,45.2,36.0,34.9,34.7,99.9,34.8,0.0,99.3,34.9,0.0,0.0
Afu1g00710,0.0,0.0,70.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.9,0.0,77.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7,0.0,0.0,67.3,0.0,0.0,0.0
Afu1g00730,0.0,0.0,88.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,87.6,0.0,0.0,0.0
Afu1g00740,60.4,0.0,91.2,0.0,82.2,0.0,0.0,0.0,65.6,0.0,0.0,42.8,43.8,90.6,0.0,0.0,0.0,0.0,82.2,43.5,43.5,82.2,82.2,82.0,43.5,90.6,82.2,0.0,43.5,43.5,0.0,43.5,43.5,43.5,43.5,0.0,0.0,66.2,42.8,82.2,43.5,90.9,43.5,48.5,90.9,43.1,0.0,0.0
Afu1g00760,0.0,0.0,0.0,0.0,57.7,57.7,0.0,0.0,0.0,57.7,0.0,57.7,0.0,0.0,57.7,0.0,0.0,0.0,0.0,0.0,57.7,0.0,57.7,57.7,0.0,0.0,57.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7,0.0,57.7,57.7,0.0,0.0,57.7,100.0,100.0,0.0,57.7,0.0,0.0,0.0
Afu1g00770,80.9,78.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,86.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,79.1,0.0,0.0,0.0,79.1,0.0,0.0,0.0,79.5,0.0,86.5,79.1,0.0,0.0,69.7,100.0,86.5,78.4,73.2,0.0,0.0,0.0
Afu1g00780,0.0,0.0,94.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,52.8,0.0,0.0,0.0,0.0,52.8,0.0,0.0,52.8,52.8,52.8,52.8,0.0,0.0,0.0,0.0,0.0,100.0,0.0,56.0,73.4,0.0,0.0,0.0
Afu1g00790,0.0,0.0,100.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,0.0,0.0,0.0,68.0,0.0,0.0,68.0,68.0,100.0,0.0,99.2,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,100.0,0.0,0.0,97.8,0.0,0.0,0.0
Afu1g00810,0.0,0.0,100.0,0.0,91.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.6,0.0,0.0,0.0,0.0,91.9,0.0,0.0,91.9,91.9,100.0,0.0,99.6,91.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.9,0.0,100.0,0.0,0.0,99.6,0.0,0.0,0.0
Afu1g00820,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,99.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4,0.0,0.0,99.4,0.0,0.0,0.0
Afu1g00830,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0
Afu1g00840,0.0,0.0,75.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.4,0.0,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.4,0.0,0.0,78.9,0.0,0.0,0.0
Afu1g00930,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
Afu1g00970,0.0,0.0,96.3,0.0,0.0,96.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.3,0.0,0.0,0.0,99.5,0.0,99.5,99.5,0.0,0.0,96.1
Afu1g00980,0.0,0.0,97.6,0.0,0.0,90.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.4,0.0,0.0,0.0,96.8,0.0,90.4,90.4,0.0,0.0,90.4
Afu1g00990,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0
Afu1g01000,0.0,0.0,99.7,0.0,0.0,99.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,0.0,0.0,100.0,0.0,94.0,99.2,0.0,0.0,99.0
Afu1g01100,100.0,99.6,100.0,100.0,99.1,99.1,100.0,100.0,100.0,100.0,100.0,99.6,100.0,100.0,99.1,100.0,100.0,100.0,100.0,99.1,99.1,97.8,100.0,0.0,0.0,96.0,100.0,100.0,100.0,93.0,100.0,100.0,93.0,93.0,92.4,93.0,100.0,99.1,100.0,100.0,100.0,100.0,100.0,99.6,99.6,100.0,100.0,98.2
Afu1g01110,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.2,0.0,99.3,100.0,100.0,100.0,98.5,100.0,100.0,98.5,98.5,98.5,98.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.3
Afu1g01120,99.1,99.6,100.0,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.1,99.1,99.6,99.6,99.6,99.6,99.6,99.1,99.6,99.6,99.6,99.6,99.1,99.6,99.6,99.1,99.1,99.1,99.1,99.6,99.6,99.1,99.1,99.6,100.0,99.6,99.6,99.6,99.6,99.6,99.6
Afu1g01130,99.1,99.5,100.0,99.5,98.6,98.6,99.1,99.1,99.1,99.1,99.5,99.1,99.1,99.1,98.6,99.5,99.5,99.1,99.1,98.6,98.6,99.1,99.1,99.5,98.2,99.1,99.1,99.1,99.1,98.2,99.1,99.1,98.2,98.2,98.2,98.2,99.1,98.6,99.1,99.1,99.1,100.0,99.5,99.1,98.6,99.1,99.5,98.6
Afu1g01140,99.2,100.0,100.0,100.0,99.6,99.6,99.6,99.6,99.6,99.6,100.0,99.6,99.6,99.6,99.6,100.0,100.0,99.2,99.6,99.6,99.6,99.6,99.6,100.0,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.2,99.6,100.0,100.0,99.2,99.6,99.6,100.0,99.6
Afu1g01160,92.8,92.8,93.9,92.8,92.8,92.8,92.3,92.3,92.8,92.3,92.8,92.8,92.3,92.3,92.8,92.8,92.8,92.8,92.8,92.8,92.8,91.9,92.3,92.8,92.2,92.3,92.8,92.3,92.3,91.6,92.8,92.3,91.6,91.8,91.8,91.8,92.3,92.8,92.8,92.8,92.7,93.9,92.8,92.8,92.8,92.3,92.8,92.6
Afu1g01170,99.4,99.4,100.0,99.4,99.4,99.4,98.8,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.4,100.0,99.4,100.0,100.0,99.4,98.8,99.4,99.4,85.2,99.4,99.4,100.0,100.0,100.0,100.0,99.4,99.4,99.4,99.4,99.4,100.0,99.4,99.4,99.4,98.8,99.4,99.4
Afu1g01175,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,99.2,0.0,0.0,100.0,100.0,99.2,0.0,100.0,100.0,100.0,98.4,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,99.2,100.0,100.0,0.0
Afu1g01190,99.7,99.2,100.0,99.5,99.7,99.7,98.7,99.2,99.5,99.3,99.5,99.7,99.5,99.2,99.7,99.5,99.5,99.5,99.5,99.7,99.7,99.5,99.2,100.0,99.5,99.5,99.7,99.2,99.5,99.2,99.7,99.2,99.2,99.2,99.2,99.2,99.7,99.7,99.5,99.5,99.7,99.7,99.5,99.7,99.7,99.2,99.5,99.5
Afu1g01200,99.5,99.5,100.0,99.5,99.3,99.3,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.3,99.5,99.5,99.5,99.5,99.3,99.3,99.0,99.5,100.0,98.8,99.5,99.5,99.5,99.5,99.0,99.5,99.5,99.0,94.1,99.0,99.0,99.5,99.3,99.3,99.5,99.5,100.0,99.5,95.3,99.4,99.5,99.5,99.5
Afu1g01210,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Afu1g01220,100.0,98.5,98.7,98.5,98.5,90.0,98.7,98.7,98.5,98.5,98.5,98.7,98.5,98.7,99.5,98.5,98.5,98.7,98.7,91.2,100.0,98.5,100.0,98.7,100.0,98.5,98.7,100.0,99.7,100.0,98.7,100.0,98.7,98.7,98.7,98.7,98.7,99.7,100.0,98.7,98.5,98.5,98.5,89.7,91.2,98.7,98.5,98.7
Afu1g01230,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.7,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.7,92.9,95.8,92.5,92.9,92.9,87.1,92.9,92.9,92.9,92.9,91.7,92.9,92.9,92.0,92.0,92.0,92.0,92.9,96.2,95.7,92.9,92.9,92.9,92.9,92.9,95.8,92.9,92.9,92.9
Afu1g01240,97.5,97.5,97.5,97.4,97.4,97.5,97.5,97.5,97.5,97.5,97.4,97.5,97.4,97.5,97.4,97.4,97.4,97.4,97.5,97.5,97.5,97.5,97.5,97.4,97.4,97.5,97.5,97.5,97.4,97.4,97.5,97.5,97.4,97.4,97.4,97.4,97.5,97.4,97.5,97.5,97.5,97.4,97.4,97.5,97.5,97.5,97.4,97.5
Afu1g01250,100.0,100.0,100.0,99.8,100.0,100.0,100.0,100.0,99.8,100.0,99.8,100.0,99.8,100.0,100.0,99.8,99.8,100.0,100.0,100.0,100.0,99.4,100.0,100.0,99.6,99.8,100.0,100.0,99.8,99.4,100.0,100.0,99.6,99.6,99.6,99.6,100.0,100.0,99.8,100.0,100.0,100.0,99.8,100.0,100.0,100.0,99.8,100.0
Afu1g01260,99.6,100.0,100.0,100.0,99.8,99.8,99.4,99.0,100.0,99.4,100.0,100.0,100.0,99.0,99.8,100.0,100.0,99.8,99.2,99.8,99.8,99.8,99.4,100.0,99.8,100.0,99.2,99.4,100.0,99.6,99.4,99.4,98.3,98.3,98.3,98.3,99.6,99.8,100.0,99.2,99.0,100.0,100.0,99.8,98.5,99.0,100.0,99.8
Afu1g01280,97.4,97.0,98.6,97.0,97.4,97.0,97.4,97.4,97.4,97.4,97.0,97.4,97.0,97.4,97.4,97.0,97.0,97.4,97.4,97.0,97.0,97.9,97.4,98.6,97.9,97.0,97.4,97.4,97.0,98.7,97.4,97.4,98.7,97.9,98.7,97.9,97.4,97.4,97.0,97.4,97.4,98.6,97.0,97.0,97.4,97.4,97.0,97.4
Afu1g01290,79.4,77.0,85.9,77.0,77.0,77.0,77.0,76.4,77.0,79.4,77.0,77.0,80.4,77.0,78.7,77.0,77.0,77.0,79.4,78.7,78.7,85.8,79.4,85.9,72.5,77.0,77.0,79.4,84.4,72.5,76.4,79.4,72.1,72.5,72.1,71.8,76.4,78.7,79.4,76.4,77.0,87.3,77.0,76.4,78.7,76.4,77.0,80.5
Afu1g01310,95.9,96.1,96.1,96.1,96.5,96.1,95.9,95.7,96.3,96.1,96.1,96.5,96.1,95.7,96.5,96.1,96.1,95.9,95.9,96.5,99.1,95.7,96.3,96.5,98.8,96.5,96.3,98.5,98.5,98.8,96.3,98.5,91.8,91.8,98.8,91.8,96.1,99.1,99.1,96.3,96.1,96.1,96.1,96.1,99.1,96.1,96.5,96.5
Afu1g01320,99.6,99.6,100.0,99.6,99.6,99.4,99.6,99.6,99.4,99.6,99.8,99.6,99.6,99.4,99.6,99.8,99.6,99.4,99.6,99.6,99.6,99.4,99.6,99.8,99.2,99.6,99.6,99.6,99.4,99.2,99.6,99.6,99.2,98.8,99.2,99.0,99.4,99.6,99.6,99.6,99.4,99.8,99.6,99.4,99.6,99.6,99.6,99.4
Afu1g01330,100.0,100.0,100.0,100.0,99.6,100.0,100.0,99.6,100.0,99.2,100.0,100.0,99.2,99.2,99.6,100.0,100.0,100.0,100.0,100.0,100.0,98.9,100.0,100.0,100.0,100.0,100.0,99.2,99.2,100.0,99.6,99.2,100.0,100.0,100.0,100.0,99.2,99.6,100.0,100.0,99.2,100.0,100.0,100.0,100.0,99.2,100.0,100.0
Afu1g01340,99.6,99.8,100.0,99.6,99.6,99.6,99.6,99.6,99.8,99.6,99.6,99.8,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,100.0,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.4,99.4,99.4,99.4,99.6,99.6,99.8,99.6,99.6,100.0,99.8,99.6,99.6,99.6,99.6,99.8
Afu1g01350,100.0,91.7,100.0,92.2,97.6,97.6,100.0,100.0,92.2,100.0,92.2,92.2,100.0,100.0,97.6,92.2,92.2,100.0,100.0,97.6,97.6,100.0,100.0,100.0,95.6,92.2,100.0,100.0,100.0,95.6,100.0,100.0,95.6,95.6,95.6,95.6,100.0,97.1,92.2,100.0,100.0,100.0,92.2,97.6,97.6,100.0,92.2,97.6
Afu1g01380,100.0,100.0,100.0,100.0,100.0,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.7,100.0,100.0,100.0,100.0,99.7,100.0,100.0,100.0,100.0,99.7,100.0,100.0,99.7,100.0,99.7,100.0,100.0,100.0,99.7,100.0,100.0,99.7,99.7,99.7,99.7,100.0,100.0,99.7
Afu1g01390,99.7,100.0,100.0,100.0,100.0,99.2,100.0,100.0,99.2,100.0,100.0,99.0,100.0,100.0,99.5,100.0,100.0,100.0,100.0,100.0,99.2,99.7,100.0,100.0,99.5,100.0,100.0,100.0,100.0,99.2,100.0,100.0,99.5,99.5,99.5,99.2,100.0,100.0,99.7,100.0,100.0,100.0,100.0,99.2,99.7,100.0,100.0,99.6
Afu1g01410,84.6,84.1,89.6,82.8,84.4,89.8,84.6,84.3,83.0,82.9,82.8,83.0,82.9,83.0,84.6,82.8,82.8,84.6,84.6,85.4,85.6,84.6,84.4,88.0,91.0,82.8,84.4,83.0,84.3,90.8,84.6,83.0,90.0,90.5,90.0,90.0,83.0,84.4,83.0,84.4,84.6,89.6,83.0,90.0,90.4,83.0,84.1,84.6
Afu1g01420,99.8,99.6,100.0,99.6,96.2,99.4,99.8,99.6,99.6,99.8,99.6,99.6,99.6,99.6,99.2,96.4,99.6,99.8,99.8,99.4,99.2,99.6,99.8,100.0,99.6,99.6,99.8,99.6,99.6,99.6,96.6,99.6,99.6,99.6,96.4,96.2,99.6,99.6,99.6,99.8,99.8,96.8,99.4,99.2,99.2,99.6,99.6,96.0
