Strain information,id,source,country,ref,number,GEM information,Sample origin
6-C-1-49-1,6_C_1_49_1,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
701-E-1-75s-1,701_E_1_75s_1,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
703-E-1-66s-1,703_E_1_66s_1,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
704-E-1-70L-4,704_E_1_70L_4,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
709-A-2-49L-5,709_A_2_49L_5,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
711-B-1-43-1,711_B_1_43_1,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
716-E-1-70L-5,716_E_1_70L_5,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
717-E-1-74s-1,717_E_1_74s_1,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
72-C-1-67s-1,72_C_1_67s_1,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
743-B-1-45-5,743_B_1_45_5,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
746-B-1-45-2,746_B_1_45_2,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
74-C-1-94L-2,74_C_1_94L_2,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
754-A-3-37s-1,754_A_3_37s_1,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
766-E-1-65L-2,766_E_1_65L_2,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
767-E-1-67s-1,767_E_1_67s_1,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
774-B-1-44-s,774_B_1_44_s,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
788-A-3-30s-2,788_A_3_30s_2,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
78-C-1-99L-2,78_C_1_99L_2,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
79-C-1-69s-1,79_C_1_69s_1,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
7-C-1-34s-1,7_C_1_34s_1,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
815-A-2-34L-2,815_A_2_34L_2,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
82-D-2-47L-2,82_D_2_47L_2,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
83-D-2-47L-1,83_D_2_47L_1,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
84-D-2-49L-5,84_D_2_49L_5,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
860-F-1-42-2,860_F_1_42_2,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
863-A-2-35L-1,863_A_2_35L_1,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
865-A-2-44L-2,865_A_2_44L_2,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
875-E-1-65L-4,875_E_1_65L_4,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
87-D-2-49L-2,87_D_2_49L_2,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
882-F-1-39-1,882_F_1_39_1,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
901-A-2-45L-5,901_A_2_45L_5,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
91-D-2-50s-1,91_D_2_50s_1,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
92-D-2-43s-1,92_D_2_43s_1,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
939-E-1-75s-2,939_E_1_75s_2,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
93-D-2-48L-1,93_D_2_48L_1,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
940-A-2-43L-2,940_A_2_43L_2,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
94-D-2-28L-1,94_D_2_28L_1,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
969-B-1-26-5,969_B_1_26_5,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
975-B-1-27-5,975_B_1_27_5,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
978-B-1-46-5,978_B_1_46_5,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
99-C-1-77s-2,99_C_1_77s_2,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
9-D-2-15L-2,9_D_2_15L_2,Environmental,Germany,Barber  et al. (2021),,total genes,Environmental
C10-NRZ-2017-039,C10_NRZ_2017_039,Clinical,Germany,Barber  et al. (2021),,unique genes,Clinical
C11-NRZ-2017-040,C11_NRZ_2017_040,Clinical,Germany,Barber  et al. (2021),,unique genes,Clinical
C13-NRZ-2017-069,C13_NRZ_2017_069,Clinical,Germany,Barber  et al. (2021),,unique genes,Clinical
C14-NRZ-2017-076,C14_NRZ_2017_076,Clinical,Germany,Barber  et al. (2021),,unique genes,Clinical
C15-NRZ-2017-096,C15_NRZ_2017_096,Clinical,Germany,Barber  et al. (2021),,unique genes,Clinical
C16-NRZ-2017-115,C16_NRZ_2017_115,Clinical,Germany,Barber  et al. (2021),,unique genes,Clinical
C17-NRZ-2017-134,C17_NRZ_2017_134,Clinical,Germany,Barber  et al. (2021),,unique genes,Clinical
C18-NRZ-2017-195,C18_NRZ_2017_195,Clinical,Germany,Barber  et al. (2021),,unique genes,Clinical
C19-NRZ-2017-214,C19_NRZ_2017_214,Clinical,Germany,Barber  et al. (2021),,unique genes,Clinical
C1-NRZ-2014-065,C1_NRZ_2014_065,Clinical,Germany,Barber  et al. (2021),,unique genes,Clinical
C20-NRZ-2017-282,C20_NRZ_2017_282,Clinical,Germany,Barber  et al. (2021),,unique genes,Clinical
C21-NRZ-2017-283,C21_NRZ_2017_283,Clinical,Germany,Barber  et al. (2021),,unique genes,Clinical
C22-NRZ-2017-322,C22_NRZ_2017_322,Clinical,Germany,Barber  et al. (2021),,unique genes,Clinical
C23-NRZ-2017-346,C23_NRZ_2017_346,Clinical,Germany,Barber  et al. (2021),,unique genes,Clinical
