#,ID,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,LOWER BOUND,UPPER BOUND,OBJECTIVE,SUBSYSTEM,DATABASE-REFERENCE,GEM-REFERENCE
,R1,secretory phospholipase A2,"H2O [cytoplasm] + phosphatidylcholine [cytoplasm] --> 1-acylglycerophosphocholine [cytoplasm] + (9Z,12Z,15Z)-Octadecatrienoic acid [cytoplasm]",3.1.1.4,AFUA_2G11970 or AFUA_4G08440,0,1000,0,alpha-Linolenic acid metabolism,KEGG:R07859,
,R26,3-aminopropanal:NAD+ oxidoreductase,H2O [mitochondrion] + NAD(+) [mitochondrion] + 3-aminopropanal [mitochondrion] --> NADH [mitochondrion] + beta-alanine [mitochondrion],1.2.1.3; 1.2.1.5; 1.2.1.19,AFUA_2G00720 or AFUA_4G08600 or AFUA_6G11430 or AFUA_7G01000 or AFUA_8G02310 or AFUA_4G02830,0,1000,0,beta-Alanine metabolism,KEGG:R00904,r0172YCM606 [7]
,R27,(R)-Pantoate:beta-alanine ligase (AMP-forming),ATP [cytoplasm] + beta-alanine [cytoplasm] + (R)-pantoate [cytoplasm] --> diphosphate [cytoplasm] + AMP [cytoplasm] + (R)-pantothenate [cytoplasm],6.3.2.1,AFUA_5G11040,0,1000,0,beta-Alanine metabolism,KEGG:R02473,r0843YCM606 [7]
,R28,Aspartate alpha-decarboxylase,N-carbamoyl-beta-alanine [mitochondrion] --> CO2 [mitochondrion] + beta-alanine [mitochondrion] + NH3 [mitochondrion],4.1.1.15,AFUA_6G12670,0,1000,0,beta-Alanine metabolism,,A. fumigatus central metabolism [1]
,R29,primary-amine oxidase,H2O [nucleus] + oxygen [nucleus] + trimethylenediamine [nucleus] --> H2O2 [nucleus] + NH3 [nucleus] + 3-aminopropanal [nucleus],1.4.3.21; 1.4.3.22,AFUA_7G04180 or AFUA_5G07360 or AFUA_7G08470 or AFUA_3G00680 or AFUA_5G01470 or AFUA_3G14590 or AFUA_1G13440,0,1000,0,beta-Alanine metabolism,KEGG:R03139,r242iLC915 [5]
,R30,primary-amine oxidase,H2O [cytoplasm] + oxygen [cytoplasm] + trimethylenediamine [cytoplasm] --> H2O2 [cytoplasm] + NH3 [cytoplasm] + 3-aminopropanal [cytoplasm],1.4.3.21; 1.4.3.22,AFUA_7G04180 or AFUA_5G07360 or AFUA_7G08470 or AFUA_3G00680 or AFUA_5G01470 or AFUA_3G14590 or AFUA_1G13440,0,1000,0,beta-Alanine metabolism,KEGG:R03139,r242iLC915 [5]
,R31,primary-amine oxidase,H2O [peroxisome] + oxygen [peroxisome] + trimethylenediamine [peroxisome] --> H2O2 [peroxisome] + NH3 [peroxisome] + 3-aminopropanal [peroxisome],1.4.3.21; 1.4.3.22,AFUA_7G04180 or AFUA_5G07360 or AFUA_7G08470 or AFUA_3G00680 or AFUA_5G01470 or AFUA_3G14590 or AFUA_1G13440,0,1000,0,beta-Alanine metabolism,KEGG:R03139,r242iLC915 [5]
,R32,polyamine oxidase,H2O [nucleus] + oxygen [nucleus] + spermidine [nucleus] --> H2O2 [nucleus] + 4-aminobutanal [nucleus] + trimethylenediamine [nucleus],1.5.3.14; 1.5.3.16; 1.5.3.-,AFUA_5G09720 or AFUA_6G03510,0,1000,0,beta-Alanine metabolism,,A. fumigatus central metabolism [1]
,R33,polyamine oxidase,H2O [cytoplasm] + oxygen [cytoplasm] + spermidine [cytoplasm] --> H2O2 [cytoplasm] + 4-aminobutanal [cytoplasm] + trimethylenediamine [cytoplasm],1.5.3.14; 1.5.3.16; 1.5.3.-,AFUA_5G09720 or AFUA_6G03510,0,1000,0,beta-Alanine metabolism,,A. fumigatus central metabolism [1]
,R34,polyamine oxidase,H2O [extracellular] + oxygen [extracellular] + spermidine [extracellular] --> H2O2 [extracellular] + 4-aminobutanal [extracellular] + trimethylenediamine [extracellular],1.5.3.14; 1.5.3.16; 1.5.3.-,AFUA_5G09720 or AFUA_6G03510,0,1000,0,beta-Alanine metabolism,,A. fumigatus central metabolism [1]
,R35,NAD-dependent aldehyde dehydrogenase,H2O [cytoplasm] + NAD(+) [cytoplasm] + D-Lactaldehyde [cytoplasm] --> NADH [cytoplasm] + (S)-lactate [cytoplasm],1.2.1.3,AFUA_2G00720 or AFUA_4G08600 or AFUA_6G11430 or AFUA_7G01000 or AFUA_8G02310 or AFUA_4G02830,0,1000,0,beta-Alanine metabolism,,r969AORYZAE [4]
,R36,NAD-dependent aldehyde dehydrogenase,H2O [mitochondrion] + NAD(+) [mitochondrion] + D-Lactaldehyde [mitochondrion] --> NADH [mitochondrion] + (S)-lactate [mitochondrion],1.2.1.3,AFUA_2G00720 or AFUA_4G08600 or AFUA_6G11430 or AFUA_7G01000 or AFUA_8G02310 or AFUA_4G02830,0,1000,0,beta-Alanine metabolism,,r969AORYZAE [4]
,R37,3beta-hydroxysteroid-4alpha-carboxylate 3-dehydrogenase (decarboxylating),4.0 H2O [cytoplasm] + 3.0 NADP(+) [cytoplasm] + CO2 [cytoplasm] + 5alpha-cholest-7-en-3beta-ol [cytoplasm] <-- 3.0 NADPH [cytoplasm] + 3.0 oxygen [cytoplasm] + 4alpha-Methyl-5alpha-cholesta-7-en-3beta-ol [cytoplasm],1.1.1.170; 1.1.1.270; 1.14.18.9,AFUA_4G11500 or AFUA_2G17400 or AFUA_2G01160 or AFUA_8G02440 or AFUA_2G15030 or AFUA_4G04820,-1000,0,0,2-Oxocarboxylic acid metabolism,KEGG:R04328,
,R38,4-beta-D-mannan mannanohydrolase,"H2O [extracellular] + 1,4-beta-D-mannan [extracellular] <=> 2.0 B00001 [extracellular] + 1,4-beta-D-Mannooligosaccharide [extracellular]",3.2.1.78,AFUA_8G07030 or AFUA_7G01070,-1000,1000,0,2-Oxocarboxylic acid metabolism,KEGG:R08612,
,R39,"(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate:NAD+ oxidoreductase (decarboxylating)",7.0 H2O [cytoplasm] + 13.0 NAD(+) [cytoplasm] + 2.0 Homoisocitrate [cytoplasm] --> 13.0 NADH [cytoplasm] + 7.0 CO2 [cytoplasm] + Oxaloglutarate [cytoplasm],1.1.1.87; 1.1.1.286,AFUA_6G07390,0,1000,0,2-Oxocarboxylic acid metabolism,KEGG:R04862,R411ANIGER [2]
,R40,"(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate:NAD+ oxidoreductase (decarboxylating)",Oxaloglutarate [cytoplasm] <=> CO2 [cytoplasm] + 2-Oxoadipate [cytoplasm],1.1.1.87; 1.1.1.286,AFUA_6G07390,-1000,1000,0,2-Oxocarboxylic acid metabolism,KEGG:R01936,R412ANIGER [2]
,R41,8-O-methylsterigmatocystin monooxygenase,2.0 NADPH [endoplasmic_reticulum] + 2.0 oxygen [endoplasmic_reticulum] + 8-O-methylsterigmatocystin [endoplasmic_reticulum] <=> H2O [endoplasmic_reticulum] + 2.0 NADP(+) [endoplasmic_reticulum] + CO2 [endoplasmic_reticulum] + Methanol [endoplasmic_reticulum] + aflatoxin B1 [endoplasmic_reticulum],1.14.14.117,,-1000,1000,0,Aflatoxin biosynthesis,MetaCyc:RXN9497,
,R42,S-adenosyl-L-methionine:sterigmatocystin 8-O-methyltransferase,S-adenosyl-L-methionine [nucleus] + sterigmatocystin [nucleus] <=> S-adenosyl-L-homocysteine [nucleus] + 8-O-methylsterigmatocystin [nucleus],2.1.1.110,AFUA_5G02640,-1000,1000,0,Aflatoxin biosynthesis,KEGG:R03111,r1077ANIDULANS [3]
,R43,S-adenosyl-L-methionine:sterigmatocystin 8-O-methyltransferase,S-adenosyl-L-methionine [cytoplasm] + sterigmatocystin [cytoplasm] <=> S-adenosyl-L-homocysteine [cytoplasm] + 8-O-methylsterigmatocystin [cytoplasm],2.1.1.110,AFUA_5G02640,-1000,1000,0,Aflatoxin biosynthesis,KEGG:R03111,r1077ANIDULANS [3]
,R44,Demethylsterigmatocystin 6-O-methyltransferase,S-adenosyl-L-methionine [nucleus] + Dihydrosterigmatocystin [nucleus] --> S-adenosyl-L-homocysteine [nucleus] + Dihydro-O-methylsterigmatocystin [nucleus],2.1.1.110,AFUA_5G02640,0,1000,0,Aflatoxin biosynthesis,,r1078ANIDULANS [3]
,R45,Demethylsterigmatocystin 6-O-methyltransferase,S-adenosyl-L-methionine [cytoplasm] + Dihydrosterigmatocystin [cytoplasm] --> S-adenosyl-L-homocysteine [cytoplasm] + Dihydro-O-methylsterigmatocystin [cytoplasm],2.1.1.110,AFUA_5G02640,0,1000,0,Aflatoxin biosynthesis,,r1078ANIDULANS [3]
,R46,2-oxoglutaramate amidohydrolase,H2O [cytoplasm] + 2-oxoglutaramate [cytoplasm] <=> 2-oxoglutarate [cytoplasm] + NH3 [cytoplasm],3.5.1.3; 3.5.1.111,AFUA_6G13230,-1000,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",KEGG:R00269,
,R47,2-oxoglutaramate amidohydrolase,H2O [mitochondrion] + 2-oxoglutaramate [mitochondrion] <=> 2-oxoglutarate [mitochondrion] + NH3 [mitochondrion],3.5.1.3; 3.5.1.111,AFUA_6G13230,-1000,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",KEGG:R00269,
,R48,(S)-1-pyrroline-5-carboxylate:NADP+ oxidoreductase,2.0 H2O [mitochondrion] + NADP(+) [mitochondrion] + (S)-1-pyrroline-5-carboxylate [mitochondrion] --> NADPH [mitochondrion] + L-glutamate [mitochondrion],1.2.1.88,AFUA_6G08750,0,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",KEGG:R00708,
,R49,L-cysteine-S-conjugate aryl-thiol-lyase (deaminating; pyruvate-forming),H2O [nucleus] + RS-CH2-CH(NH3+)COO- [nucleus] <=> pyruvate [nucleus] + Aryl thiol [nucleus] + NH3 [nucleus],4.4.1.13,AFUA_7G01590 or AFUA_4G03950,-1000,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",KEGG:R03528,
,R50,L-cysteine-S-conjugate aryl-thiol-lyase (deaminating; pyruvate-forming),H2O [cytoplasm] + RS-CH2-CH(NH3+)COO- [cytoplasm] <=> pyruvate [cytoplasm] + Aryl thiol [cytoplasm] + NH3 [cytoplasm],4.4.1.13,AFUA_7G01590 or AFUA_4G03950,-1000,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",KEGG:R03528,
,R51,Glutamine-fructose-6-phosphate transaminase (isomerizing),L-glutamine [nucleus] + beta-D-fructofuranose 6-phosphate [nucleus] --> L-glutamate [nucleus] + D-glucosamine 6-phosphate [nucleus],2.6.1.16,AFUA_6G06340,0,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",,R292ANIGER [2]
,R52,Glutamine-fructose-6-phosphate transaminase (isomerizing),L-glutamine [cytoplasm] + beta-D-fructofuranose 6-phosphate [cytoplasm] --> L-glutamate [cytoplasm] + D-glucosamine 6-phosphate [cytoplasm],2.6.1.16,AFUA_6G06340,0,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",,R292ANIGER [2]
,R53,L-Aspartic acid:oxygen oxidoreductase (deaminating),H2O [cytoplasm] + oxygen [cytoplasm] + L-aspartate [cytoplasm] --> H2O2 [cytoplasm] + oxaloacetate [cytoplasm] + NH3 [cytoplasm],1.4.3.2; 1.4.3.16,AFUA_7G06810 or AFUA_6G12060,0,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",KEGG:R00357,R335ANIGER [2]
,R54,(S)-1-pyrroline-5-carboxylate:NAD+ oxidoreductase,2.0 H2O [mitochondrion] + NAD(+) [mitochondrion] + (S)-1-pyrroline-5-carboxylate [mitochondrion] --> NADH [mitochondrion] + L-glutamate [mitochondrion],1.2.1.88,AFUA_6G08750,0,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",KEGG:R00707,R363ANIGER [2]
,R55,L-Alanine:glyoxylate aminotransferase,glyoxylate [cytoplasm] + L-alanine [cytoplasm] --> pyruvate [cytoplasm] + glycine [cytoplasm],2.6.1.44,AFUA_1G09470,0,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",KEGG:R00369,r0156YCM606 [7]
,R56,2-(Nomega-L-arginino)succinate arginine-lyase (fumarate-forming),N-(L-Arginino)succinate [cytoplasm] <=> L-arginine [cytoplasm] + fumarate [cytoplasm],4.3.2.1,AFUA_3G07790,-1000,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",KEGG:R01086,r0207YCM606 [7]
,R57,L-Citrulline:L-aspartate ligase (AMP-forming),ATP [cytoplasm] + L-aspartate [cytoplasm] + L-citrulline [cytoplasm] <=> diphosphate [cytoplasm] + AMP [cytoplasm] + N-(L-Arginino)succinate [cytoplasm],6.3.4.5,AFUA_2G04310,-1000,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",KEGG:R01954,r0208YCM606 [7]
,R58,L-aspartate:L-glutamine amido-ligase (AMP-forming),H2O [cytoplasm] + ATP [cytoplasm] + L-aspartate [cytoplasm] + L-glutamine [cytoplasm] --> diphosphate [cytoplasm] + AMP [cytoplasm] + L-glutamate [cytoplasm] + L-asparagine [cytoplasm],6.3.5.4,AFUA_4G06900,0,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",KEGG:R00578,r0211YCM606 [7]
,R59,L-glutamine amidohydrolase,H2O [cytoplasm] + L-glutamine [cytoplasm] --> L-glutamate [cytoplasm] + NH3 [cytoplasm],1.4.1.13; 1.4.7.1; 3.5.1.2; 3.5.1.38; 4.3.2.10; 4.3.3.6; 6.3.4.2; 6.3.5.2; 6.3.5.4; 6.3.5.5,AFUA_2G08580 or AFUA_6G09920,0,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",KEGG:R00256,r0475YCM606 [7]
,R60,L-glutamine amidohydrolase,H2O [extracellular] + L-glutamine [extracellular] --> L-glutamate [extracellular] + NH3 [extracellular],1.4.1.13; 1.4.7.1; 3.5.1.2; 3.5.1.38; 4.3.2.10; 4.3.3.6; 6.3.4.2; 6.3.5.2; 6.3.5.4; 6.3.5.5,AFUA_6G09910 or AFUA_3G10910 or AFUA_3G07030,0,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",KEGG:R00256,r0475YCM606 [7]
,R61,L-Asparagine amidohydrolase,H2O [cytoplasm] + L-asparagine [cytoplasm] --> L-aspartate [cytoplasm] + NH3 [cytoplasm],3.5.1.1; 3.5.1.38; 3.5.5.4,AFUA_2G04280 or AFUA_5G02930,0,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",KEGG:R00485,r0679YCM606 [7]
,R62,L-Asparagine amidohydrolase,H2O [extracellular] + L-asparagine [extracellular] --> L-aspartate [extracellular] + NH3 [extracellular],3.5.1.1; 3.5.1.38; 3.5.5.4,AFUA_1G02780,0,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",KEGG:R00485,r0679YCM606 [7]
,R63,D-alanine:oxygen oxidoreductase (deaminating),H2O [cytoplasm] + oxygen [peroxisome] + L-alanine [peroxisome] --> pyruvate [peroxisome] + H2O2 [peroxisome] + NH3 [peroxisome],1.4.3.3; 1.4.3.19,AFUA_5G11290 or AFUA_5G13940,0,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",KEGG:R05861,r1088iLC915 [5]
,R64,L-aspartate:ammonia ligase (AMP-forming),ATP [cytoplasm] + L-aspartate [cytoplasm] + NH3 [cytoplasm] --> diphosphate [cytoplasm] + AMP [cytoplasm] + L-asparagine [cytoplasm],6.3.1.1; 6.3.5.4,AFUA_4G06900,0,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",KEGG:R00483,r567AORYZAE [4]
,R65,Asparagine synthase,ATP [nucleus] + L-aspartate [nucleus] + tRNA(Asp) [nucleus] <=> diphosphate [nucleus] + AMP [nucleus] + L-aspartyl-tRNA(Asp) [nucleus],6.3.5.4,AFUA_8G00100,-1000,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",,A. fumigatus central metabolism [1]
,R66,Asparagine synthase,ATP [cytoplasm] + L-aspartate [cytoplasm] + tRNA(Asp) [cytoplasm] <=> diphosphate [cytoplasm] + AMP [cytoplasm] + L-aspartyl-tRNA(Asp) [cytoplasm],6.3.5.4,AFUA_8G00100,-1000,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",,A. fumigatus central metabolism [1]
,R67,Aspartyl-tRNA synthetase,ATP [nucleus] + L-aspartate [nucleus] + transfer RNA [nucleus] --> diphosphate [nucleus] + AMP [nucleus] + L-aspartyl-tRNA(Asp) [nucleus],6.1.1.12,AFUA_1G02570,0,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",,r585AORYZAE [4]
,R68,Aspartyl-tRNA synthetase,ATP [cytoplasm] + L-aspartate [cytoplasm] + transfer RNA [cytoplasm] --> diphosphate [cytoplasm] + AMP [cytoplasm] + L-aspartyl-tRNA(Asp) [cytoplasm],6.1.1.12,AFUA_1G02570,0,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",,r585AORYZAE [4]
,R69,Glutamyl-tRNA synthetase,7.0 ATP [cytoplasm] + 6.0 L-glutamate [cytoplasm] + 4.0 transfer RNA [cytoplasm] --> 2.0 H2O [cytoplasm] + 8.0 diphosphate [cytoplasm] + AMP [cytoplasm] + 6.0 L-glutamyl-tRNA(Glu) [cytoplasm],6.1.1.17,AFUA_2G16280 or AFUA_5G03560,0,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",,r703AORYZAE [4]
,R70,Glutamyl-tRNA synthetase,7.0 ATP [mitochondrion] + 6.0 L-glutamate [mitochondrion] + 4.0 transfer RNA [mitochondrion] --> 2.0 H2O [mitochondrion] + 8.0 diphosphate [mitochondrion] + AMP [mitochondrion] + 6.0 L-glutamyl-tRNA(Glu) [mitochondrion],6.1.1.17,AFUA_2G16280 or AFUA_5G03560,0,1000,0,"Alanine, aspartate, asparagine, glutamate and glutamine metabolism",,r703AORYZAE [4]
,R71,Dimethylallyl-diphosphate:L-tryptophan dimethylallyltransferase,L-tryptophan [nucleus] + dimethylallyl diphosphate [nucleus] <=> diphosphate [nucleus] + 4-(3-methylbut-2-enyl)-L-tryptophan [nucleus],2.5.1.34,AFUA_2G18040,-1000,1000,0,Alkaloid metabolism,KEGG:R01657,
,R72,Dimethylallyl-diphosphate:L-tryptophan dimethylallyltransferase,L-tryptophan [mitochondrion] + dimethylallyl diphosphate [mitochondrion] <=> diphosphate [mitochondrion] + 4-(3-methylbut-2-enyl)-L-tryptophan [mitochondrion],2.5.1.34,AFUA_2G18040,-1000,1000,0,Alkaloid metabolism,KEGG:R01657,
,R73,"Monophenol,L-dopa:oxygen oxidoreductase",NADH [cytoplasm] + oxygen [cytoplasm] + tyramine [cytoplasm] --> H2O [cytoplasm] + NAD(+) [cytoplasm] + dopamine [cytoplasm],1.14.13.-; 1.14.18.1,AFUA_4G13780 or AFUA_1G17430,0,1000,0,Alkaloid metabolism,KEGG:R02383,
,R74,"Monophenol,L-dopa:oxygen oxidoreductase",NADH [extracellular] + oxygen [extracellular] + tyramine [extracellular] --> H2O [extracellular] + NAD(+) [extracellular] + dopamine [extracellular],1.14.13.-; 1.14.18.1,AFUA_3G01070,0,1000,0,Alkaloid metabolism,KEGG:R02383,
