ID_old	ID_new	NAME	EQUATION	EC-NUMBER	GENE ASSOCIATION	SUBSYSTEM
r124[m]	R2701	2-methylpropanoyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-(2-methylpropanoyl)transferase	isobutyryl-CoA [mitochondrion] + Enzyme N6-(dihydrolipoyl)lysine [mitochondrion] --> coenzyme A [mitochondrion] + [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylpropanoyl)dihydrolipoyllysine [mitochondrion]	2.3.1.168	AFUA_3G01450 and AFUA_6G08830 and AFUA_1G00490 and AFUA_4G12010	"Valine, leucine and isoleucine metabolism"
r156[m]	R2702	3-methyl-2-oxobutanoate dehydrogenase	thiamin diphosphate [mitochondrion] + (R)-3-methyl-2-oxobutanoate [mitochondrion] --> CO2 [mitochondrion] + 2-Methyl-1-hydroxypropyl-ThPP [mitochondrion]	1.2.4.4	AFUA_3G01450 and AFUA_6G08830 and AFUA_1G00490 and AFUA_4G12010	"Valine, leucine and isoleucine metabolism"
r175iLC915R07599[m]	R2703	2-oxoisovalerate dehydrogenase E1 component alpha subunit	thiamin diphosphate [mitochondrion] + (R)-3-methyl-2-oxobutanoate [mitochondrion] --> CO2 [mitochondrion] + 2-Methyl-1-hydroxypropyl-ThPP [mitochondrion]	1.2.4.4	AFUA_6G08830 and AFUA_3G01450 and AFUA_4G12010 and AFUA_1G00490	"Valine, leucine and isoleucine metabolism"
r176iLC915R07600[m]	R2704	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)	2-Methyl-1-hydroxypropyl-ThPP [mitochondrion] + Enzyme N6-(lipoyl)lysine [mitochondrion] <=> thiamin diphosphate [mitochondrion] + [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylpropanoyl)dihydrolipoyllysine [mitochondrion]	1.2.4.4	AFUA_6G08830 and AFUA_3G01450 and AFUA_4G12010 and AFUA_1G00490	"Valine, leucine and isoleucine metabolism"
r177iLC915R07601[m]	R2705	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)	thiamin diphosphate [mitochondrion] + 4-methyl-2-oxopentanoate [mitochondrion] --> CO2 [mitochondrion] + 3-Methyl-1-hydroxybutyl-ThPP [mitochondrion]	1.2.4.4	AFUA_6G08830 and AFUA_3G01450 and AFUA_4G12010 and AFUA_1G00490	"Valine, leucine and isoleucine metabolism"
r178iLC915R07602[m]	R2706	2-oxoisovalerate dehydrogenase E1 component	3-Methyl-1-hydroxybutyl-ThPP [mitochondrion] + Enzyme N6-(lipoyl)lysine [mitochondrion] <=> thiamin diphosphate [mitochondrion] + [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine [mitochondrion]	1.2.4.4	AFUA_6G08830 and AFUA_3G01450 and AFUA_4G12010 and AFUA_1G00490	"Valine, leucine and isoleucine metabolism"
r179iLC915R07603[m]	R2707	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)	thiamin diphosphate [mitochondrion] + (S)-3-methyl-2-oxopentanoate [mitochondrion] --> CO2 [mitochondrion] + 2-Methyl-1-hydroxybutyl-ThPP [mitochondrion]	1.2.4.4	AFUA_6G08830 and AFUA_3G01450 and AFUA_4G12010 and AFUA_1G00490	"Valine, leucine and isoleucine metabolism"
r180iLC915R07604[m]	R2708	2-oxoisovalerate dehydrogenase E1 component	2-Methyl-1-hydroxybutyl-ThPP [mitochondrion] + Enzyme N6-(lipoyl)lysine [mitochondrion] <=> thiamin diphosphate [mitochondrion] + [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylbutanoyl)dihydrolipoyllysine [mitochondrion]	1.2.4.4	AFUA_6G08830 and AFUA_3G01450 and AFUA_4G12010 and AFUA_1G00490	"Valine, leucine and isoleucine metabolism"
r231iLC915R04095[m]	R2709	"3-methylbutanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"	NAD(+) [mitochondrion] + 3-isovaleryl-CoA [mitochondrion] --> NADH [mitochondrion] + 3-methylbut-2-enoyl-CoA [mitochondrion]	1.3.8.4; 1.3.8.7	AFUA_5G08930	"Valine, leucine and isoleucine metabolism"
r323iLC915R04673[c]	R2710	(S)-2-Aceto-2-hydroxybutanoate pyruvate-lyase (carboxylating)	2-oxobutanoate [cytoplasm] + 2-(alpha-Hydroxyethyl)thiamine diphosphate [cytoplasm] <=> thiamin diphosphate [cytoplasm] + acetohydroxybutyrate [cytoplasm]	2.2.1.6	(AFUA_4G07210 and AFUA_3G10310) or AFUA_3G10310	"Valine, leucine and isoleucine metabolism"
r323iLC915R04673[m]	R2711	(S)-2-Aceto-2-hydroxybutanoate pyruvate-lyase (carboxylating)	2-oxobutanoate [mitochondrion] + 2-(alpha-Hydroxyethyl)thiamine diphosphate [mitochondrion] <=> thiamin diphosphate [mitochondrion] + acetohydroxybutyrate [mitochondrion]	2.2.1.6	(AFUA_4G07210 and AFUA_3G10310) or AFUA_3G10310	"Valine, leucine and isoleucine metabolism"
r47iLC915R05066[m]	R2712	3-Hydroxy-2-methylpropanoate:NAD+ oxidoreductase	NAD(+) [mitochondrion] + (S)-3-Hydroxyisobutyrate [mitochondrion] <-- NADH [mitochondrion] + (S)-Methylmalonate semialdehyde [mitochondrion]	1.1.1.31; 1.1.1.35	AFUA_3G09470 or AFUA_5G10280 or AFUA_6G14200	"Valine, leucine and isoleucine metabolism"
r613ANIDULANS[c]	R2713	Ketol-acid reductoisomerase	NADPH [cytoplasm] + 2-Acetolactate [cytoplasm] --> NADP(+) [cytoplasm] + 3-hydroxy-3-methyl-2-oxobutanoate [cytoplasm]	1.1.1.86	AFUA_3G14490	"Valine, leucine and isoleucine metabolism"
r613ANIDULANS[m]	R2714	Ketol-acid reductoisomerase	NADPH [mitochondrion] + 2-Acetolactate [mitochondrion] --> NADP(+) [mitochondrion] + 3-hydroxy-3-methyl-2-oxobutanoate [mitochondrion]	1.1.1.86	AFUA_3G14490	"Valine, leucine and isoleucine metabolism"
r618ANIDULANSR10170[c]	R2715	"(2R,3S)-3-isopropylmalate hydro-lyase (2-isopropylmaleate-forming)"	3-isopropylmalate [cytoplasm] <=> 2-isopropylmalate [cytoplasm]	4.2.1.33	AFUA_2G11260	"Valine, leucine and isoleucine metabolism"
r698iLC915R05064[m]	R2716	(S)-3-Hydroxyisobutyryl-CoA hydrolase	H2O [mitochondrion] + (S)-3-Hydroxyisobutyryl-CoA [mitochondrion] --> coenzyme A [mitochondrion] + (S)-3-Hydroxyisobutyrate [mitochondrion]	3.1.2.4	AFUA_5G12790	"Valine, leucine and isoleucine metabolism"
r782AORYZAE[c]	R2717	Branched chain amino acid aminotransferase	2-oxoglutarate [cytoplasm] + L-valine [cytoplasm] <=> L-glutamate [cytoplasm] + (R)-3-methyl-2-oxobutanoate [cytoplasm]	2.6.1.42	AFUA_4G06160 or AFUA_2G10420 or AFUA_1G01680	"Valine, leucine and isoleucine metabolism"
r782AORYZAE[m]	R2718	Branched chain amino acid aminotransferase	2-oxoglutarate [mitochondrion] + L-valine [mitochondrion] <=> L-glutamate [mitochondrion] + (R)-3-methyl-2-oxobutanoate [mitochondrion]	2.6.1.42	AFUA_4G06160 or AFUA_2G10420 or AFUA_1G01680	"Valine, leucine and isoleucine metabolism"
r788AORYZAE[c]	R2719	Dihydroxy-acid dehydratase	3-hydroxy-3-methyl-2-oxobutanoate [cytoplasm] --> H2O [cytoplasm] + (R)-3-methyl-2-oxobutanoate [cytoplasm]	4.2.1.9	AFUA_1G07330 or AFUA_2G16300 or AFUA_1G03550	"Valine, leucine and isoleucine metabolism"
r788AORYZAE[m]	R2720	Dihydroxy-acid dehydratase	3-hydroxy-3-methyl-2-oxobutanoate [mitochondrion] --> H2O [mitochondrion] + (R)-3-methyl-2-oxobutanoate [mitochondrion]	4.2.1.9	AFUA_2G14210	"Valine, leucine and isoleucine metabolism"
r793AORYZAE[c]	R2721	Dihydroxy-acid dehydratase	"6.0 (R)-2,3-dihydroxy-3-methylbutanoate [cytoplasm] --> 9.0 H2O [cytoplasm] + 5.0 (S)-3-methyl-2-oxopentanoate [cytoplasm]"	4.2.1.9	AFUA_1G07330 or AFUA_2G16300 or AFUA_1G03550	"Valine, leucine and isoleucine metabolism"
r793AORYZAE[m]	R2722	Dihydroxy-acid dehydratase	"6.0 (R)-2,3-dihydroxy-3-methylbutanoate [mitochondrion] --> 9.0 H2O [mitochondrion] + 5.0 (S)-3-methyl-2-oxopentanoate [mitochondrion]"	4.2.1.9	AFUA_2G14210	"Valine, leucine and isoleucine metabolism"
